list-d-none,4,4,1,48,1631600,33991 
list-il-none,4,4,1,48,1062600,22137 
list-dl-none,4,4,1,48,1338200,27879 
list-i-m,4,4,1,48,1038200,21629 
list-d-m,4,4,1,48,1411200,29400 
list-il-m,4,4,1,48,949500,19781 
list-dl-m,4,4,1,48,1056200,22004 
list-i-s,4,4,1,48,1356700,28264 
list-d-s,4,4,1,48,902900,18810 
list-il-s,4,4,1,48,1313500,27364 
list-dl-s,4,4,1,48,934300,19464 
list-i-none,8,4,1,96,1290800,13445 
list-d-none,8,4,1,96,1295200,13491 
list-dl-none,8,4,1,96,1331600,13870 
list-i-m,8,4,1,96,1610300,16773 
list-d-m,8,4,1,96,1417800,14768 
list-il-m,8,4,1,96,1236200,12877 
list-dl-m,8,4,1,96,2372100,24709 
list-i-s,8,4,1,96,1716700,17882 
list-d-s,8,4,1,96,1488700,15507 
list-il-s,8,4,1,96,1812800,18883 
list-dl-s,8,4,1,96,1131700,11788 
list-i-none,12,4,1,144,2103900,14610 
list-d-none,12,4,1,144,1436900,9978 
list-il-none,12,4,1,144,1880500,13059 
list-dl-none,12,4,1,144,1334200,9265 
list-i-m,12,4,1,144,1506300,10460 
list-d-m,12,4,1,144,1667100,11577 
list-il-m,12,4,1,144,1467000,10187 
list-dl-m,12,4,1,144,1464100,10167 
list-i-s,12,4,1,144,1375800,9554 
list-d-s,12,4,1,144,1165500,8093 
list-il-s,12,4,1,144,1721800,11956 
list-dl-s,12,4,1,144,1397600,9705 
list-i-none,2,8,1,48,1064900,22185 
list-d-none,2,8,1,48,864500,18010 
list-il-none,2,8,1,48,1345100,28022 
list-dl-none,2,8,1,48,945900,19706 
list-i-m,2,8,1,48,958100,19960 
list-d-m,2,8,1,48,972700,20264 
list-il-m,2,8,1,48,859700,17910 
list-dl-m,2,8,1,48,1169100,24356 
list-i-s,2,8,1,48,918800,19141 
list-d-s,2,8,1,48,1334100,27793 
list-il-s,2,8,1,48,954800,19891 
list-dl-s,2,8,1,48,865000,18020 
list-i-none,4,8,1,96,1218400,12691 
list-d-none,4,8,1,96,943100,9823 
list-il-none,4,8,1,96,1232000,12833 
list-dl-none,4,8,1,96,982600,10235 
list-i-m,4,8,1,96,1354400,14108 
list-d-m,4,8,1,96,1153700,12017 
list-il-m,4,8,1,96,1081600,11266 
list-dl-m,4,8,1,96,1361000,14177 
list-i-s,4,8,1,96,948000,9875 
list-d-s,4,8,1,96,1398400,14566 
list-il-s,4,8,1,96,868600,9047 
list-dl-s,4,8,1,96,1007200,10491 
list-i-none,8,8,1,192,1462100,7615 
list-d-none,8,8,1,192,1039000,5411 
list-il-none,8,8,1,192,1672600,8711 
list-dl-none,8,8,1,192,1327100,6911 
list-i-m,8,8,1,192,1593300,8298 
list-d-m,8,8,1,192,1505400,7840 
list-il-m,8,8,1,192,1513300,7881 
list-dl-m,8,8,1,192,1242200,6469 
list-i-s,8,8,1,192,1327800,6915 
list-d-s,8,8,1,192,1446200,7532 
list-il-s,8,8,1,192,1172900,6108 
list-dl-s,8,8,1,192,1075800,5603 
list-i-none,12,8,1,288,1746900,6065 
list-d-none,12,8,1,288,1587200,5511 
list-il-none,12,8,1,288,1210800,4204 
list-dl-none,12,8,1,288,1280400,4445 
list-i-m,12,8,1,288,1289400,4477 
list-d-m,12,8,1,288,1599300,5553 
list-il-m,12,8,1,288,1594200,5535 
list-dl-m,12,8,1,288,1499400,5206 
list-i-s,12,8,1,288,2534800,8801 
list-d-s,12,8,1,288,1867100,6482 
list-il-s,12,8,1,288,1201300,4171 
list-dl-s,12,8,1,288,1530600,5314 
list-i-none,2,16,1,96,1168100,12167 
list-d-none,2,16,1,96,973500,10140 
list-il-none,2,16,1,96,1337000,13927 
list-dl-none,2,16,1,96,1413100,14719 
list-i-m,2,16,1,96,1187400,12368 
list-d-m,2,16,1,96,966000,10062 
list-il-m,2,16,1,96,1522900,15863 
list-dl-m,2,16,1,96,1155700,12038 
list-i-s,2,16,1,96,1415900,14748 
list-d-s,2,16,1,96,1394300,14523 
list-il-s,2,16,1,96,1159300,12076 
list-dl-s,2,16,1,96,1189700,12392 
list-i-none,4,16,1,192,1067800,5561 
list-d-none,4,16,1,192,1294500,6742 
list-i-m,4,16,1,192,1017700,5300 
list-d-m,4,16,1,192,1080300,5626 
list-il-m,4,16,1,192,1453800,7571 
list-dl-m,4,16,1,192,1226300,6386 
list-i-s,4,16,1,192,1440500,7502 
list-d-s,4,16,1,192,968700,5045 
list-il-s,4,16,1,192,1290400,6720 
list-dl-s,4,16,1,192,983900,5124 
list-i-none,8,16,1,384,1200400,3126 
list-d-none,8,16,1,384,1472400,3834 
list-i-m,8,16,1,384,1443400,3758 
list-d-m,8,16,1,384,1157100,3013 
list-il-m,8,16,1,384,1530500,3985 
list-dl-m,8,16,1,384,1132300,2948 
list-i-s,8,16,1,384,1394800,3632 
list-d-s,8,16,1,384,1039800,2707 
list-il-s,8,16,1,384,1639200,4268 
list-dl-s,8,16,1,384,1248500,3251 
list-i-none,12,16,1,576,1314600,2282 
list-d-none,12,16,1,576,1649000,2862 
list-il-none,12,16,1,576,1255000,2178 
list-i-m,12,16,1,576,1409700,2447 
list-d-m,12,16,1,576,1903900,3305 
list-il-m,12,16,1,576,3518700,6108 
list-dl-m,12,16,1,576,1860800,3230 
list-i-s,12,16,1,576,1428300,2479 
list-d-s,12,16,1,576,1406500,2441 
list-il-s,12,16,1,576,5538800,9615 
list-dl-s,12,16,1,576,4840200,8403 
list-i-none,2,32,1,192,1067300,5558 
list-d-none,2,32,1,192,1122000,5843 
list-il-none,2,32,1,192,2535600,13206 
list-dl-none,2,32,1,192,2036600,10607 
list-i-m,2,32,1,192,921300,4798 
list-d-m,2,32,1,192,1115600,5810 
list-il-m,2,32,1,192,1590800,8285 
list-dl-m,2,32,1,192,1901100,9901 
list-i-s,2,32,1,192,1254400,6533 
list-d-s,2,32,1,192,1855200,9662 
list-il-s,2,32,1,192,1783200,9287 
list-dl-s,2,32,1,192,1233400,6423 
list-i-none,4,32,1,384,1396200,3635 
list-d-none,4,32,1,384,1261300,3284 
list-i-m,4,32,1,384,925800,2410 
list-d-m,4,32,1,384,1492500,3886 
list-il-m,4,32,1,384,2287300,5956 
list-dl-m,4,32,1,384,2632300,6854 
list-i-s,4,32,1,384,1636400,4261 
list-d-s,4,32,1,384,1676900,4366 
list-il-s,4,32,1,384,3439800,8957 
list-dl-s,4,32,1,384,2876300,7490 
list-i-none,8,32,1,768,1195400,1556 
list-d-none,8,32,1,768,1215300,1582 
list-i-m,8,32,1,768,1934600,2519 
list-d-m,8,32,1,768,1734100,2257 
